latitude,longitude,utm_easting,utm_northing,utm_zone_number
35.91423448,128.8033116,482253.7528,3974453.739,
35.91422992,128.8033106,482253.6671,3974453.233,
35.91422536,128.8033092,482253.5391,3974452.728,
35.91421966,128.8033069,482253.3261,3974452.096,
35.91421434,128.8033055,482253.1979,3974451.506,
35.91420902,128.8033045,482253.112,3974450.916,
35.91420065,128.803304,482253.0678,3974449.988,
35.91419153,128.8033031,482252.9811,3974448.977,
35.91418583,128.8033017,482252.8528,3974448.345,
35.91417937,128.8032998,482252.682,3974447.629,
35.91417411,128.8032997,482252.6725,3974447.045,
35.91417078,128.8032989,482252.5938,3974446.676,
35.91416605,128.8032987,482252.5732,3974446.152,
35.91416168,128.8032978,482252.4942,3974445.667,
35.91415818,128.8032963,482252.3569,3974445.279,
35.91415556,128.8032956,482252.2978,3974444.988,
35.91415083,128.8032928,482252.0432,3974444.464,
35.91414557,128.8032902,482251.808,3974443.882,
35.91414067,128.8032891,482251.7094,3974443.338,
35.91413699,128.8032868,482251.4941,3974442.931,
35.9141342,128.8032853,482251.357,3974442.621,
35.91413174,128.8032824,482251.1029,3974442.349,
35.91412999,128.8032792,482250.81,3974442.156,
35.91412824,128.8032757,482250.4976,3974441.962,
35.91412579,128.8032729,482250.2435,3974441.691,
35.9141237,128.8032701,482249.9895,3974441.459,
35.91412124,128.8032673,482249.7354,3974441.187,
35.91411914,128.8032643,482249.4619,3974440.955,
35.91411704,128.803261,482249.1689,3974440.722,
35.91411494,128.8032576,482248.8564,3974440.49,
35.91411336,128.8032535,482248.4855,3974440.316,
35.91411214,128.8032505,482248.2122,3974440.181,
35.91411057,128.8032472,482247.9194,3974440.007,
35.91410951,128.8032433,482247.5681,3974439.891,
35.91410846,128.8032388,482247.1583,3974439.775,
35.91410811,128.803234,482246.7292,3974439.737,
35.91411231,128.8032729,482250.2405,3974440.196,
35.91410811,128.8032926,482252.0142,3974439.726,
35.91410496,128.8033064,482253.2616,3974439.374,
35.91410216,128.803317,482254.2166,3974439.062,
35.91409884,128.8033298,482255.3665,3974438.691,
35.91409375,128.8033425,482256.5159,3974438.125,
35.91409078,128.8033527,482257.4319,3974437.793,
35.91408877,128.8033611,482258.1891,3974437.569,
35.9140854,128.8033716,482259.1369,3974437.193,
35.91409012,128.803347,482256.9141,3974437.721,
35.91409192,128.8033367,482255.9893,3974437.922,
35.91409618,128.8033159,482254.1149,3974438.399,
35.9141,128.8033004,482252.7154,3974438.825,
35.91410696,128.8032846,482251.2917,3974439.6,
35.91411055,128.803281,482250.9674,3974439.999,
35.91411279,128.8032799,482250.8679,3974440.248,
35.91411549,128.8032779,482250.6935,3974440.547,
35.91411818,128.8032768,482250.594,3974440.846,
35.91412178,128.8032757,482250.4948,3974441.245,
35.91412783,128.8032743,482250.3711,3974441.917,
35.91413434,128.8032746,482250.3976,3974442.639,
35.9141395,128.8032757,482250.4988,3974443.211,
35.91414601,128.8032766,482250.5752,3974443.933,
35.91415118,128.8032771,482250.6264,3974444.506,
35.91415589,128.8032779,482250.7025,3974445.028,
35.9141597,128.8032796,482250.8534,3974445.451,
35.91416397,128.8032818,482251.0544,3974445.924,
35.91416936,128.8032838,482251.2306,3974446.521,
35.91417407,128.8032849,482251.3317,3974447.043,
35.91418013,128.8032879,482251.6081,3974447.715,
35.91418574,128.8032912,482251.9094,3974448.337,
35.91419068,128.8032924,482252.0105,3974448.884,
35.91419651,128.8032937,482252.1369,3974449.531,
35.91420168,128.803296,482252.338,3974450.104,
35.91420773,128.8032979,482252.5144,3974450.775,
35.91421447,128.8032998,482252.691,3974451.522,
35.91422053,128.8033012,482252.8174,3974452.194,
35.91422794,128.8032993,482252.644,3974453.016,
35.91423265,128.8032937,482252.1449,3974453.539,
35.91423602,128.8032888,482251.6956,3974453.914,
35.91424028,128.8032827,482251.1464,3974454.388,
35.91424635,128.8032741,482250.3726,3974455.062,
35.91426677,128.8032425,482247.5266,3974457.333,
35.91427912,128.8032228,482245.754,3974458.706,
