seq,latitude,longitude,latitude_utm,longitude_utm,option,,
1723,37.2889456,127.1076411,332256.4247,4128605.405,5,01_start,
1725,37.2889462,127.1076383,332256.1778,4128605.477,5,,
1727,37.2889472,127.1076349,332255.8786,4128605.594,5,,
1729,37.2889483,127.1076313,332255.5619,4128605.722,5,,
1731,37.2889492,127.1076276,332255.2359,4128605.829,5,,
1733,37.2889502,127.1076239,332254.9101,4128605.946,5,,
1735,37.2889512,127.1076203,332254.5932,4128606.063,5,,
1737,37.2889521,127.1076169,332254.2938,4128606.169,5,,
1739,37.288953,127.1076136,332254.0032,4128606.275,5,,
1741,37.2889538,127.1076106,332253.739,4128606.369,5,,
1743,37.2889546,127.1076075,332253.466,4128606.463,5,,
1745,37.2889554,127.1076043,332253.1841,4128606.558,5,,
1747,37.2889563,127.1076009,332252.8847,4128606.664,5,,
1749,37.2889572,127.1075976,332252.5941,4128606.77,5,,
1751,37.2889581,127.1075941,332252.2858,4128606.876,5,,
1753,37.2889591,127.1075908,332251.9955,4128606.992,5,,
1755,37.2889601,127.1075874,332251.6963,4128607.109,5,,
1757,37.288961,127.1075841,332251.4058,4128607.215,5,,
1759,37.2889619,127.1075807,332251.1064,4128607.321,5,,
1761,37.2889628,127.1075773,332250.8069,4128607.427,5,,
1763,37.2889637,127.107574,332250.5164,4128607.533,5,,
1765,37.2889646,127.1075707,332250.2258,4128607.638,5,,
1767,37.2889655,127.1075674,332249.9353,4128607.744,5,,
1769,37.2889664,127.107564,332249.6359,4128607.85,5,,
1771,37.2889673,127.1075606,332249.3365,4128607.956,5,,
1773,37.2889683,127.1075573,332249.0461,4128608.073,5,,
1775,37.2889692,127.1075539,332248.7467,4128608.179,5,,
1777,37.2889701,127.1075505,332248.4473,4128608.284,5,,
1779,37.288971,127.1075472,332248.1568,4128608.39,5,,
1781,37.288972,127.1075439,332247.8664,4128608.507,5,,
1783,37.288973,127.1075406,332247.5761,4128608.624,5,,
1785,37.288974,127.1075374,332247.2946,4128608.74,5,,
1787,37.2889748,127.1075341,332247.0039,4128608.835,5,,
1789,37.2889758,127.1075308,332246.7135,4128608.952,5,,
1791,37.2889767,127.1075275,332246.423,4128609.058,5,,
1793,37.2889777,127.1075242,332246.1327,4128609.174,5,,
1795,37.2889787,127.1075208,332245.8335,4128609.291,5,,
1797,37.2889796,127.1075175,332245.5429,4128609.397,5,,
1799,37.2889806,127.1075142,332245.2526,4128609.514,5,,
1801,37.2889816,127.1075109,332244.9623,4128609.631,5,,
1803,37.2889826,127.1075076,332244.6719,4128609.747,5,,
1805,37.2889835,127.1075044,332244.3902,4128609.853,5,,
1807,37.2889844,127.1075012,332244.1086,4128609.959,5,,
1809,37.2889853,127.107498,332243.8269,4128610.064,5,,
1811,37.2889863,127.1074948,332243.5454,4128610.181,5,,
1813,37.2889873,127.1074916,332243.2639,4128610.297,5,,
1815,37.2889883,127.1074884,332242.9825,4128610.414,5,,
1817,37.2889892,127.1074852,332242.7008,4128610.52,5,,
1819,37.2889902,127.1074819,332242.4105,4128610.636,5,,
1821,37.2889911,127.1074786,332242.1199,4128610.742,5,,
1823,37.2889922,127.1074753,332241.8298,4128610.87,5,,
1825,37.2889932,127.1074722,332241.5572,4128610.986,5,,
1827,37.2889942,127.107469,332241.2758,4128611.103,5,,
1829,37.2889952,127.1074657,332240.9854,4128611.22,5,,
1831,37.2889962,127.1074625,332240.704,4128611.337,5,,
1833,37.2889972,127.1074593,332240.4225,4128611.453,5,,
1835,37.2889981,127.107456,332240.132,4128611.559,5,,
1837,37.2889992,127.1074528,332239.8507,4128611.687,5,,
1839,37.2890002,127.1074496,332239.5693,4128611.803,5,,
1841,37.2890011,127.1074464,332239.2876,4128611.909,5,,
1843,37.2890022,127.107443,332238.9886,4128612.037,5,,
1845,37.2890031,127.1074397,332238.698,4128612.143,5,,
1847,37.2890043,127.1074364,332238.4082,4128612.282,5,,
1849,37.2890053,127.107433,332238.109,4128612.399,5,,
1851,37.2890062,127.1074297,332237.8184,4128612.504,5,,
1853,37.2890072,127.1074264,332237.5281,4128612.621,5,,
1855,37.2890083,127.1074232,332237.2469,4128612.749,5,,
1857,37.2890093,127.1074198,332236.9477,4128612.866,5,,
1859,37.2890102,127.1074166,332236.666,4128612.971,5,,
1861,37.2890111,127.1074133,332236.3754,4128613.077,5,,
1863,37.2890119,127.10741,332236.0847,4128613.172,5,,
1865,37.2890126,127.1074066,332235.7848,4128613.255,5,,
1867,37.2890133,127.1074031,332235.4761,4128613.339,5,,
1869,37.289014,127.1073998,332235.1851,4128613.423,5,,
1871,37.2890147,127.1073969,332234.9295,4128613.506,5,,
1873,37.2890154,127.1073939,332234.6651,4128613.589,5,,
1875,37.289016,127.1073911,332234.4183,4128613.66,5,,
1877,37.2890166,127.1073882,332234.1625,4128613.732,5,,
1879,37.2890171,127.1073854,332233.9154,4128613.792,5,,
1881,37.2890176,127.1073825,332233.6594,4128613.853,5,,
1883,37.2890182,127.1073796,332233.4037,4128613.925,5,,
1885,37.2890187,127.1073768,332233.1565,4128613.985,5,,
1887,37.2890194,127.1073738,332232.8921,4128614.068,5,,
1889,37.28902,127.1073709,332232.6364,4128614.14,5,,
1891,37.2890207,127.1073679,332232.372,4128614.223,5,01_end,
1893,37.2890214,127.1073648,332232.0987,4128614.306,5,02_start,
1895,37.2890222,127.1073618,332231.8345,4128614.4,5,,
1897,37.2890229,127.1073588,332231.5701,4128614.483,5,,
1899,37.2890237,127.1073556,332231.2882,4128614.577,5,,
1901,37.2890244,127.1073524,332231.0061,4128614.661,5,,
1903,37.2890252,127.1073492,332230.7242,4128614.755,5,,
1905,37.2890261,127.1073458,332230.4248,4128614.861,5,,
1907,37.289027,127.1073425,332230.1342,4128614.967,5,,
1909,37.2890278,127.1073391,332229.8346,4128615.062,5,,
1911,37.2890287,127.1073358,332229.5441,4128615.167,5,,
1913,37.2890294,127.1073324,332229.2442,4128615.251,5,,
1915,37.2890303,127.1073292,332228.9625,4128615.357,5,,
1917,37.2890312,127.107326,332228.6808,4128615.462,5,,
1919,37.2890322,127.1073229,332228.4082,4128615.579,5,,
1921,37.289033,127.1073196,332228.1175,4128615.673,5,,
1923,37.2890338,127.1073166,332227.8533,4128615.767,5,,
1925,37.2890347,127.1073134,332227.5716,4128615.873,5,,
1927,37.2890355,127.1073102,332227.2897,4128615.967,5,,
1929,37.2890363,127.107307,332227.0078,4128616.062,5,,
1931,37.2890372,127.1073039,332226.735,4128616.167,5,,
1933,37.2890379,127.1073009,332226.4706,4128616.25,5,,
1935,37.2890387,127.1072975,332226.1709,4128616.345,2,,
1937,37.2890396,127.1072944,332225.8981,4128616.45,5,,
1939,37.2890403,127.1072912,332225.616,4128616.534,5,,
1941,37.2890412,127.107288,332225.3343,4128616.639,5,,
1943,37.289042,127.1072847,332225.0435,4128616.734,5,,
1945,37.2890428,127.1072815,332224.7616,4128616.828,5,,
1947,37.2890437,127.1072782,332224.4711,4128616.934,5,,
1949,37.2890445,127.107275,332224.1892,4128617.028,5,,
1951,37.2890453,127.1072719,332223.9161,4128617.123,5,,
1953,37.2890461,127.1072687,332223.6342,4128617.217,5,,
1955,37.2890472,127.1072656,332223.3618,4128617.345,5,,
1957,37.289048,127.1072627,332223.1065,4128617.439,5,,
1959,37.2890491,127.1072595,332222.8253,4128617.566,5,,
1961,37.28905,127.1072564,332222.5525,4128617.672,5,,
1963,37.2890508,127.1072534,332222.2883,4128617.766,5,,
1965,37.2890518,127.1072503,332222.0157,4128617.882,5,,
1967,37.2890527,127.107247,332221.7251,4128617.988,5,,
1969,37.2890537,127.1072437,332221.4348,4128618.105,5,,
1971,37.2890545,127.1072401,332221.1175,4128618.2,5,,
1973,37.2890556,127.1072365,332220.8008,4128618.328,5,,
1975,37.2890568,127.1072325,332220.4488,4128618.469,5,,
1977,37.289058,127.1072283,332220.0791,4128618.609,5,,
1978,37.2890586,127.1072261,332219.8854,4128618.68,5,,
1980,37.2890597,127.1072217,332219.4978,4128618.81,5,,
1981,37.2890603,127.1072195,332219.3041,4128618.88,5,,
1982,37.289061,127.1072172,332219.1018,4128618.962,5,,
1983,37.2890615,127.1072149,332218.899,4128619.021,5,,
1984,37.2890622,127.1072126,332218.6967,4128619.103,5,,
1985,37.2890628,127.1072103,332218.4941,4128619.174,5,,
1986,37.2890633,127.107208,332218.2913,4128619.233,5,,
1988,37.2890644,127.1072039,332217.9303,4128619.363,5,,
1990,37.2890655,127.1072,332217.587,4128619.492,5,,
1992,37.2890664,127.1071963,332217.261,4128619.598,5,,
1994,37.2890674,127.1071926,332216.9352,4128619.716,5,,
1996,37.2890683,127.1071893,332216.6446,4128619.821,5,,
1998,37.2890692,127.1071861,332216.363,4128619.927,5,,
2000,37.2890702,127.1071828,332216.0726,4128620.044,5,,
2002,37.2890711,127.1071797,332215.7998,4128620.149,5,,
2004,37.2890721,127.1071764,332215.5095,4128620.266,5,,
2006,37.289073,127.1071734,332215.2455,4128620.371,5,,
2008,37.2890739,127.1071703,332214.9727,4128620.476,5,,
2010,37.289075,127.1071671,332214.6915,4128620.604,5,,
2012,37.289076,127.107164,332214.4189,4128620.72,5,,
2014,37.2890768,127.1071609,332214.1458,4128620.815,5,,
2016,37.2890778,127.1071577,332213.8644,4128620.931,5,,
2018,37.2890787,127.1071546,332213.5915,4128621.037,5,,
2020,37.2890796,127.1071514,332213.3099,4128621.142,5,,
2022,37.2890805,127.1071481,332213.0193,4128621.248,5,,
2024,37.2890816,127.1071449,332212.7381,4128621.376,5,,
2026,37.2890824,127.1071415,332212.4384,4128621.471,5,,
2028,37.2890834,127.1071382,332212.1481,4128621.587,5,,
2030,37.2890845,127.1071348,332211.8491,4128621.715,5,,
2032,37.2890854,127.1071314,332211.5497,4128621.821,5,,
2034,37.2890864,127.1071281,332211.2594,4128621.938,5,,
2036,37.2890874,127.1071248,332210.9691,4128622.055,5,,
2038,37.2890884,127.1071216,332210.6876,4128622.172,5,,
2040,37.2890895,127.1071183,332210.3975,4128622.299,5,,
2042,37.2890904,127.1071151,332210.1158,4128622.405,5,02_end,
2044,37.2890914,127.1071118,332209.8255,4128622.522,0,03_start,
2046,37.2890924,127.1071085,332209.5352,4128622.639,0,,
2048,37.2890933,127.1071053,332209.2535,4128622.744,0,,
2050,37.2890943,127.1071019,332208.9543,4128622.861,0,,
2052,37.2890953,127.1070988,332208.6817,4128622.978,0,,
2054,37.2890964,127.1070957,332208.4093,4128623.105,0,,
2056,37.2890973,127.1070924,332208.1188,4128623.211,0,,
2058,37.2890984,127.1070892,332207.8375,4128623.339,0,,
2060,37.2890993,127.107086,332207.5558,4128623.444,0,,
2062,37.2891003,127.1070827,332207.2655,4128623.561,0,,
2064,37.2891013,127.1070795,332206.9841,4128623.678,0,,
2066,37.2891022,127.1070763,332206.7024,4128623.783,0,,
2068,37.2891032,127.1070731,332206.4209,4128623.9,0,,
2070,37.2891042,127.1070699,332206.1395,4128624.016,0,,
2072,37.2891051,127.1070667,332205.8578,4128624.122,0,,
2074,37.289106,127.1070635,332205.5761,4128624.228,0,,
2076,37.289107,127.1070603,332205.2946,4128624.344,0,,
2078,37.2891078,127.1070571,332205.0127,4128624.439,0,,
2080,37.2891088,127.1070539,332204.7313,4128624.555,0,,
