latitude,longitude,utm_easting,utm_northing,utm_zone_number
37.2889803,127.1074837,332242.5481,4128609.534,52
37.28898173,127.1074784,332242.0856,4128609.703,52
37.28898317,127.1074732,332241.623,4128609.872,52
37.28898461,127.1074679,332241.1605,4128610.04,52
37.28898604,127.1074627,332240.6979,4128610.209,52
37.28898748,127.1074574,332240.2354,4128610.378,52
37.28898892,127.1074522,332239.7728,4128610.547,52
37.28899035,127.1074469,332239.3103,4128610.715,52
37.28899179,127.1074417,332238.8477,4128610.884,52
37.28899323,127.1074364,332238.3852,4128611.053,52
37.28899466,127.1074312,332237.9226,4128611.222,52
37.2889961,127.1074259,332237.46,4128611.39,52
37.28899754,127.1074207,332236.9975,4128611.559,52
37.28899897,127.1074154,332236.5349,4128611.728,52
37.28900041,127.1074101,332236.0724,4128611.897,52
37.28900185,127.1074049,332235.6098,4128612.065,52
37.28900328,127.1073996,332235.1473,4128612.234,52
37.28900472,127.1073944,332234.6847,4128612.403,52
37.28900616,127.1073891,332234.2222,4128612.572,52
37.28900759,127.1073839,332233.7596,4128612.74,52
37.28900903,127.1073786,332233.2971,4128612.909,52
37.28901047,127.1073734,332232.8345,4128613.078,52
37.28901191,127.1073681,332232.372,4128613.247,52
37.28901334,127.1073629,332231.9094,4128613.415,52
37.28901478,127.1073576,332231.4469,4128613.584,52
37.28901622,127.1073524,332230.9843,4128613.753,52
37.28901888,127.1073433,332230.1848,4128614.065,52
37.28902032,127.107338,332229.7212,4128614.233,52
37.28902175,127.1073327,332229.2575,4128614.402,52
37.28902319,127.1073275,332228.7939,4128614.571,52
37.28902463,127.1073222,332228.3302,4128614.739,52
37.28902606,127.1073169,332227.8666,4128614.908,52
37.2890275,127.1073117,332227.4029,4128615.077,52
37.28902893,127.1073064,332226.9393,4128615.245,52
37.28903037,127.1073011,332226.4756,4128615.414,52
37.2890318,127.1072959,332226.012,4128615.583,52
37.28903324,127.1072906,332225.5483,4128615.751,52
37.28903468,127.1072853,332225.0847,4128615.92,52
37.28903611,127.1072801,332224.621,4128616.089,52
37.28903755,127.1072748,332224.1574,4128616.257,52
