latitude,longitude,utm_easting,utm_northing,utm_zone_number
35.91410701,128.8034015,482261.8417,3974439.585,52S
35.91410633,128.8034036,482262.0314,3974439.509,52S
35.91410566,128.8034057,482262.216,3974439.434,52S
35.91410498,128.8034077,482262.4006,3974439.358,52S
35.9141043,128.8034098,482262.5852,3974439.282,52S
35.91410362,128.8034118,482262.7698,3974439.207,52S
35.91410294,128.8034139,482262.9544,3974439.131,52S
35.91410227,128.8034159,482263.139,3974439.056,52S
35.91410159,128.803418,482263.3236,3974438.98,52S
35.91410091,128.80342,482263.5082,3974438.905,52S
35.91410023,128.8034221,482263.6928,3974438.829,52S
35.91409955,128.8034241,482263.8774,3974438.753,52S
35.91409888,128.8034262,482264.062,3974438.678,52S
35.9140982,128.8034282,482264.2465,3974438.602,52S
35.91409752,128.8034302,482264.4311,3974438.527,52S
35.91409684,128.8034323,482264.6157,3974438.451,52S
35.91409616,128.8034343,482264.8003,3974438.376,52S
35.91409549,128.8034364,482264.9849,3974438.3,52S
35.91409481,128.8034384,482265.1695,3974438.224,52S
35.91409413,128.8034405,482265.3541,3974438.149,52S
35.91409345,128.8034425,482265.5387,3974438.073,52S
35.91409277,128.8034446,482265.7233,3974437.998,52S
35.9140921,128.8034466,482265.9079,3974437.922,52S
35.91409146,128.8034488,482266.1027,3974437.852,52S
