latitude,longitude,utm_easting,utm_northing,utm_zone_number
35.91410994,128.8033955,482261.2959,3974439.911,
35.91409555,128.8034373,482265.0677,3974438.307,
35.91411003,128.8034035,482262.0191,3974439.919,
35.91410937,128.8034055,482262.2019,3974439.845,
35.9141087,128.8034075,482262.3847,3974439.771,
35.91410803,128.8034096,482262.5675,3974439.696,
35.91410737,128.8034116,482262.7502,3974439.622,
35.9141067,128.8034136,482262.933,3974439.548,
35.91410604,128.8034156,482263.1158,3974439.474,
35.91410536,128.8034177,482263.2986,3974439.399,
35.9141047,128.8034197,482263.4814,3974439.325,
35.91410404,128.8034217,482263.6642,3974439.251,
35.91410337,128.8034238,482263.8469,3974439.177,
35.91410271,128.8034258,482264.0297,3974439.103,
35.91410204,128.8034278,482264.2125,3974439.028,
35.91410137,128.8034298,482264.3953,3974438.954,
35.91410071,128.8034319,482264.5781,3974438.88,
35.91410004,128.8034339,482264.7609,3974438.806,
35.91409938,128.8034359,482264.9436,3974438.732,
35.91409871,128.803438,482265.1264,3974438.657,
35.91409804,128.80344,482265.3092,3974438.583,
35.91409738,128.803442,482265.492,3974438.509,
35.91409672,128.803444,482265.6748,3974438.435,
35.91409604,128.8034461,482265.8576,3974438.36,
35.91409538,128.8034481,482266.0403,3974438.286,
35.91409472,128.8034501,482266.2231,3974438.212,
