latitude,longitude,utm_easting,utm_northing,utm_zone_number
37.28893834,127.10762,332254.5343,4128604.638,52S
37.2889389,127.1076178,332254.3456,4128604.703,52S
37.28893946,127.1076157,332254.1569,4128604.769,52S
37.28894002,127.1076135,332253.9682,4128604.835,52S
37.28894057,127.1076114,332253.7796,4128604.9,52S
37.28894113,127.1076092,332253.5909,4128604.966,52S
37.28894169,127.1076071,332253.4022,4128605.031,52S
37.28894224,127.107605,332253.2135,4128605.097,52S
37.2889428,127.1076028,332253.0248,4128605.162,52S
37.28894336,127.1076007,332252.8362,4128605.228,52S
37.28894391,127.1075985,332252.6475,4128605.294,52S
37.28894447,127.1075964,332252.4588,4128605.359,52S
37.28894503,127.1075943,332252.2701,4128605.425,52S
37.28894558,127.1075921,332252.0815,4128605.49,52S
37.28894614,127.10759,332251.8928,4128605.556,52S
37.2889467,127.1075878,332251.7041,4128605.622,52S
37.28894726,127.1075857,332251.5154,4128605.687,52S
37.28894781,127.1075835,332251.3268,4128605.753,52S
37.28894837,127.1075814,332251.1381,4128605.818,52S
37.28894893,127.1075793,332250.9494,4128605.884,52S
37.28894948,127.1075771,332250.7607,4128605.95,52S
37.28895004,127.107575,332250.572,4128606.015,52S
37.2889506,127.1075728,332250.3834,4128606.081,52S
37.28895115,127.1075707,332250.1947,4128606.146,52S
37.28895171,127.1075685,332250.006,4128606.212,52S
37.28895227,127.1075664,332249.8173,4128606.278,52S
37.28895282,127.1075643,332249.6287,4128606.343,52S
37.28895338,127.1075621,332249.44,4128606.409,52S
37.28895394,127.10756,332249.2513,4128606.474,52S
37.28895449,127.1075578,332249.0626,4128606.54,52S
37.28895505,127.1075557,332248.874,4128606.606,52S
37.28895561,127.1075535,332248.6853,4128606.671,52S
37.28895617,127.1075514,332248.4966,4128606.737,52S
37.28895672,127.1075493,332248.3079,4128606.802,52S
37.28895728,127.1075471,332248.1192,4128606.868,52S
37.28895784,127.107545,332247.9306,4128606.934,52S
37.28895839,127.1075428,332247.7419,4128606.999,52S
37.28895895,127.1075407,332247.5532,4128607.065,52S
37.28895951,127.1075386,332247.3645,4128607.13,52S
37.28896006,127.1075364,332247.1759,4128607.196,52S
37.28896062,127.1075343,332246.9872,4128607.261,52S
37.28896118,127.1075321,332246.7985,4128607.327,52S
37.28896173,127.10753,332246.6098,4128607.393,52S
37.28896229,127.1075278,332246.4212,4128607.458,52S
37.28896285,127.1075257,332246.2325,4128607.524,52S
37.28896341,127.1075236,332246.0438,4128607.589,52S
37.28896396,127.1075214,332245.8551,4128607.655,52S
37.28896452,127.1075193,332245.6664,4128607.721,52S
37.28896508,127.1075171,332245.4778,4128607.786,52S
37.28896563,127.107515,332245.2891,4128607.852,52S
37.28896619,127.1075128,332245.1004,4128607.917,52S
37.28896675,127.1075107,332244.9117,4128607.983,52S
37.2889673,127.1075086,332244.7231,4128608.049,52S
37.28896786,127.1075064,332244.5344,4128608.114,52S
37.28896842,127.1075043,332244.3457,4128608.18,52S
37.28896897,127.1075021,332244.157,4128608.245,52S
37.28896953,127.1075,332243.9684,4128608.311,52S
37.28897009,127.1074978,332243.7797,4128608.377,52S
37.28897065,127.1074957,332243.591,4128608.442,52S
37.2889712,127.1074936,332243.4023,4128608.508,52S
37.28897176,127.1074914,332243.2136,4128608.573,52S
37.28897232,127.1074893,332243.025,4128608.639,52S
37.28897339,127.1074848,332242.6293,4128608.766,52S
37.28897395,127.1074827,332242.4422,4128608.832,52S
37.28897452,127.1074805,332242.2551,4128608.899,52S
37.28897509,127.1074784,332242.068,4128608.966,52S
37.28897566,127.1074763,332241.8809,4128609.033,52S
37.28897623,127.1074742,332241.6938,4128609.1,52S
37.2889768,127.107472,332241.5067,4128609.167,52S
37.28897736,127.1074699,332241.3197,4128609.233,52S
37.28897793,127.1074678,332241.1326,4128609.3,52S
37.2889785,127.1074657,332240.9455,4128609.367,52S
37.28897907,127.1074635,332240.7584,4128609.434,52S
37.28897964,127.1074614,332240.5713,4128609.501,52S
37.28898021,127.1074593,332240.3842,4128609.568,52S
37.28898077,127.1074572,332240.1972,4128609.634,52S
37.28898134,127.107455,332240.0101,4128609.701,52S
37.28898191,127.1074529,332239.823,4128609.768,52S
37.28898248,127.1074508,332239.6359,4128609.835,52S
37.28898305,127.1074487,332239.4488,4128609.902,52S
37.28898362,127.1074465,332239.2617,4128609.969,52S
37.28898418,127.1074444,332239.0746,4128610.035,52S
37.28898475,127.1074423,332238.8876,4128610.102,52S
37.28898532,127.1074402,332238.7005,4128610.169,52S
37.28898589,127.107438,332238.5134,4128610.236,52S
37.28898646,127.1074359,332238.3263,4128610.303,52S
37.28898703,127.1074338,332238.1392,4128610.37,52S
37.28898759,127.1074317,332237.9521,4128610.436,52S
37.28898816,127.1074295,332237.7651,4128610.503,52S
37.28898873,127.1074274,332237.578,4128610.57,52S
37.2889893,127.1074253,332237.3909,4128610.637,52S
37.28898987,127.1074232,332237.2038,4128610.704,52S
37.28899044,127.1074211,332237.0167,4128610.771,52S
37.288991,127.1074189,332236.8296,4128610.837,52S
37.28899157,127.1074168,332236.6425,4128610.904,52S
37.28899214,127.1074147,332236.4555,4128610.971,52S
37.28899271,127.1074126,332236.2684,4128611.038,52S
37.28899328,127.1074104,332236.0813,4128611.105,52S
37.28899385,127.1074083,332235.8942,4128611.172,52S
37.28899441,127.1074062,332235.7071,4128611.238,52S
37.28899498,127.1074041,332235.52,4128611.305,52S
37.28899555,127.1074019,332235.333,4128611.372,52S
37.28899612,127.1073998,332235.1459,4128611.439,52S
37.28899669,127.1073977,332234.9588,4128611.506,52S
37.28899726,127.1073956,332234.7717,4128611.573,52S
37.28899782,127.1073934,332234.5846,4128611.639,52S
37.28899839,127.1073913,332234.3975,4128611.706,52S
37.28899896,127.1073892,332234.2104,4128611.773,52S
37.28899953,127.1073871,332234.0234,4128611.84,52S
37.2890001,127.1073849,332233.8363,4128611.907,52S
37.28900067,127.1073828,332233.6492,4128611.973,52S
37.28900123,127.1073807,332233.4621,4128612.04,52S
37.2890018,127.1073786,332233.275,4128612.107,52S
37.28900237,127.1073764,332233.0879,4128612.174,52S
37.28900294,127.1073743,332232.9009,4128612.241,52S
37.28900351,127.1073722,332232.7138,4128612.308,52S
37.28900408,127.1073701,332232.5267,4128612.374,52S
37.28900464,127.1073679,332232.3396,4128612.441,52S
37.28900521,127.1073658,332232.1525,4128612.508,52S
37.28900578,127.1073637,332231.9654,4128612.575,52S
37.28900635,127.1073616,332231.7783,4128612.642,52S
37.28900692,127.1073594,332231.5913,4128612.709,52S
37.28900749,127.1073573,332231.4042,4128612.775,52S
37.28900805,127.1073552,332231.2171,4128612.842,52S
37.28900894,127.1073502,332230.7793,4128612.95,52S
37.2890095,127.1073481,332230.5937,4128613.015,52S
37.28901005,127.107346,332230.4081,4128613.08,52S
37.2890106,127.1073439,332230.2224,4128613.145,52S
37.28901116,127.1073418,332230.0368,4128613.21,52S
37.28901171,127.1073397,332229.8512,4128613.275,52S
37.28901226,127.1073376,332229.6656,4128613.34,52S
37.28901282,127.1073355,332229.4799,4128613.406,52S
37.28901337,127.1073334,332229.2943,4128613.471,52S
37.28901392,127.1073313,332229.1087,4128613.536,52S
37.28901448,127.1073292,332228.9231,4128613.601,52S
37.28901503,127.107327,332228.7374,4128613.666,52S
37.28901558,127.1073249,332228.5518,4128613.731,52S
37.28901614,127.1073228,332228.3662,4128613.796,52S
37.28901669,127.1073207,332228.1805,4128613.861,52S
37.28901724,127.1073186,332227.9949,4128613.927,52S
37.28901779,127.1073165,332227.8093,4128613.992,52S
37.28901835,127.1073144,332227.6237,4128614.057,52S
37.2890189,127.1073123,332227.438,4128614.122,52S
37.28901945,127.1073102,332227.2524,4128614.187,52S
37.28902001,127.1073081,332227.0668,4128614.252,52S
37.28902056,127.107306,332226.8812,4128614.317,52S
37.28902111,127.1073039,332226.6955,4128614.382,52S
37.28902167,127.1073018,332226.5099,4128614.447,52S
37.28902222,127.1072996,332226.3243,4128614.513,52S
37.28902277,127.1072975,332226.1387,4128614.578,52S
37.28902333,127.1072954,332225.953,4128614.643,52S
37.28902388,127.1072933,332225.7674,4128614.708,52S
37.28902443,127.1072912,332225.5818,4128614.773,52S
37.28902499,127.1072891,332225.3962,4128614.838,52S
37.28902554,127.107287,332225.2105,4128614.903,52S
37.28902609,127.1072849,332225.0249,4128614.968,52S
37.28902664,127.1072828,332224.8393,4128615.033,52S
37.2890272,127.1072807,332224.6537,4128615.099,52S
37.28902775,127.1072786,332224.468,4128615.164,52S
37.2890283,127.1072765,332224.2824,4128615.229,52S
37.28902886,127.1072743,332224.0968,4128615.294,52S
37.28902941,127.1072722,332223.9112,4128615.359,52S
37.28902996,127.1072701,332223.7255,4128615.424,52S
37.28903052,127.107268,332223.5399,4128615.489,52S
37.28903107,127.1072659,332223.3543,4128615.554,52S
37.28903162,127.1072638,332223.1687,4128615.619,52S
37.28903218,127.1072617,332222.983,4128615.685,52S
37.28903273,127.1072596,332222.7974,4128615.75,52S
37.28903328,127.1072575,332222.6118,4128615.815,52S
37.28903384,127.1072554,332222.4262,4128615.88,52S
37.28903439,127.1072533,332222.2405,4128615.945,52S
37.28903494,127.1072512,332222.0549,4128616.01,52S
37.28903549,127.1072491,332221.8693,4128616.075,52S
37.28903605,127.1072469,332221.6837,4128616.14,52S
37.2890366,127.1072448,332221.498,4128616.206,52S
37.28903715,127.1072427,332221.3124,4128616.271,52S
37.28903818,127.1072378,332220.8773,4128616.393,52S
37.28903877,127.1072357,332220.6926,4128616.462,52S
37.28903935,127.1072336,332220.508,4128616.531,52S
37.28903994,127.1072315,332220.3233,4128616.6,52S
37.28904053,127.1072294,332220.1386,4128616.669,52S
37.28904112,127.1072273,332219.954,4128616.738,52S
37.2890417,127.1072252,332219.7693,4128616.807,52S
37.28904229,127.1072231,332219.5846,4128616.875,52S
37.28904288,127.107221,332219.3999,4128616.944,52S
37.28904347,127.1072189,332219.2153,4128617.013,52S
37.28904405,127.1072168,332219.0306,4128617.082,52S
37.28904464,127.1072147,332218.8459,4128617.151,52S
37.28904523,127.1072126,332218.6613,4128617.22,52S
37.28904582,127.1072105,332218.4766,4128617.289,52S
37.2890464,127.1072084,332218.2919,4128617.358,52S
37.28904699,127.1072063,332218.1073,4128617.427,52S
37.28904758,127.1072042,332217.9226,4128617.496,52S
37.28904817,127.1072021,332217.7379,4128617.565,52S
37.28904875,127.1072,332217.5533,4128617.633,52S
37.28904934,127.1071979,332217.3686,4128617.702,52S
37.28904993,127.1071958,332217.1839,4128617.771,52S
37.28905052,127.1071937,332216.9993,4128617.84,52S
37.2890511,127.1071916,332216.8146,4128617.909,52S
37.28905169,127.1071896,332216.6299,4128617.978,52S
37.28905228,127.1071875,332216.4452,4128618.047,52S
37.28905287,127.1071854,332216.2606,4128618.116,52S
37.28905345,127.1071833,332216.0759,4128618.185,52S
37.28905404,127.1071812,332215.8912,4128618.254,52S
37.28905463,127.1071791,332215.7066,4128618.323,52S
37.28905522,127.107177,332215.5219,4128618.391,52S
37.2890558,127.1071749,332215.3372,4128618.46,52S
37.28905639,127.1071728,332215.1526,4128618.529,52S
37.28905698,127.1071707,332214.9679,4128618.598,52S
37.28905757,127.1071686,332214.7832,4128618.667,52S
37.28905815,127.1071665,332214.5986,4128618.736,52S
37.28905874,127.1071644,332214.4139,4128618.805,52S
37.28905933,127.1071623,332214.2292,4128618.874,52S
37.28905992,127.1071602,332214.0446,4128618.943,52S
37.2890605,127.1071581,332213.8599,4128619.012,52S
37.28906109,127.107156,332213.6752,4128619.081,52S
37.28906168,127.1071539,332213.4905,4128619.149,52S
37.28906227,127.1071518,332213.3059,4128619.218,52S
37.28906285,127.1071497,332213.1212,4128619.287,52S
37.28906344,127.1071476,332212.9365,4128619.356,52S
37.28906403,127.1071455,332212.7519,4128619.425,52S
37.28906462,127.1071434,332212.5672,4128619.494,52S
37.2890652,127.1071413,332212.3825,4128619.563,52S
37.28906579,127.1071392,332212.1979,4128619.632,52S
37.28906638,127.1071371,332212.0132,4128619.701,52S
37.28906697,127.107135,332211.8285,4128619.77,52S
37.28906755,127.1071329,332211.6439,4128619.839,52S
37.28906814,127.1071308,332211.4592,4128619.907,52S
37.28906873,127.1071287,332211.2745,4128619.976,52S
37.28906932,127.1071266,332211.0899,4128620.045,52S
37.2890699,127.1071245,332210.9052,4128620.114,52S
37.28907049,127.1071224,332210.7205,4128620.183,52S
37.28907131,127.1071197,332210.4847,4128620.279,52S
37.28907261,127.1071154,332210.0989,4128620.431,52S
37.28907321,127.1071133,332209.9181,4128620.501,52S
37.28907382,127.1071112,332209.7373,4128620.572,52S
37.28907442,127.1071092,332209.5565,4128620.643,52S
37.28907503,127.1071071,332209.3757,4128620.714,52S
37.28907563,127.1071051,332209.1948,4128620.784,52S
37.28907624,127.107103,332209.014,4128620.855,52S
37.28907684,127.107101,332208.8332,4128620.926,52S
37.28907744,127.1070989,332208.6524,4128620.996,52S
37.28907805,127.1070969,332208.4716,4128621.067,52S
37.28907865,127.1070948,332208.2908,4128621.138,52S
37.28907926,127.1070928,332208.11,4128621.208,52S
37.28907986,127.1070907,332207.9292,4128621.279,52S
37.28908047,127.1070886,332207.7484,4128621.35,52S
37.28908107,127.1070866,332207.5676,4128621.42,52S
37.28908167,127.1070845,332207.3868,4128621.491,52S
37.28908228,127.1070825,332207.206,4128621.562,52S
37.28908288,127.1070804,332207.0252,4128621.632,52S
37.28908349,127.1070784,332206.8444,4128621.703,52S
37.28908409,127.1070763,332206.6636,4128621.774,52S
37.28908469,127.1070743,332206.4828,4128621.844,52S
37.2890853,127.1070722,332206.302,4128621.915,52S
37.2890859,127.1070702,332206.1212,4128621.986,52S
37.28908651,127.1070681,332205.9404,4128622.057,52S
37.28908711,127.107066,332205.7596,4128622.127,52S
37.28908772,127.107064,332205.5788,4128622.198,52S
37.28908832,127.1070619,332205.3979,4128622.269,52S
37.28908813,127.1070578,332205.0282,4128622.255,52S
37.28908877,127.1070558,332204.8553,4128622.329,52S
37.28908941,127.1070538,332204.6824,4128622.404,52S
37.28909004,127.1070519,332204.5095,4128622.478,52S
37.28909068,127.1070499,332204.3366,4128622.552,52S
37.28909132,127.1070479,332204.1637,4128622.626,52S
37.28909196,127.107046,332203.9908,4128622.7,52S
37.28909259,127.107044,332203.8179,4128622.775,52S
37.28909323,127.107042,332203.645,4128622.849,52S
37.28909387,127.1070401,332203.4721,4128622.923,52S
37.28909451,127.1070381,332203.2992,4128622.997,52S
37.28909514,127.1070361,332203.1264,4128623.071,52S
37.28909578,127.1070342,332202.9535,4128623.146,52S
37.28909642,127.1070316,332202.7289,4128623.221,52S
37.28909688,127.1070293,332202.5234,4128623.276,52S
37.2890958,127.1070271,332202.3273,4128623.16,52S
37.28909603,127.1070252,332202.1599,4128623.189,52S
37.28909649,127.1070227,332201.9415,4128623.245,52S
37.28909696,127.1070198,332201.6843,4128623.302,52S
37.28909812,127.1070169,332201.4286,4128623.435,52S
37.28909927,127.1070127,332201.0568,4128623.572,52S
37.28909962,127.1070099,332200.8122,4128623.615,52S
37.28909974,127.1070072,332200.5671,4128623.633,52S
